"","PlayerType","citizenship","sms_validation","positive_account","negative_account","BadClientIdPassportAdress","rating","Age"
"1",0,0,0,0,0,1,0,65
"2",1,0,0,0,0,0,1,23
"3",0,0,0,0,0,0,0,53
"4",1,0,0,1,0,0,0,53
"5",1,0,0,0,1,0,0,55
"6",1,0,0,0,0,0,0,46
"7",1,0,0,0,0,0,0,52
"8",0,0,0,0,0,0,0,58
"9",1,0,0,0,0,0,0,35
"10",1,0,0,0,0,0,0,32
"11",1,0,0,0,0,0,0,48
"12",1,0,0,1,0,0,0,51
"13",0,1,0,0,0,0,0,18
"14",0,1,0,1,0,0,0,27
"15",0,0,0,0,0,0,0,57
"16",0,1,0,0,0,1,0,36
"17",0,0,0,0,0,0,0,35
"18",1,0,0,1,0,0,0,31
"19",0,0,0,0,0,1,0,49
"20",1,0,0,0,0,0,0,38
"21",0,0,0,0,0,0,0,18
"22",0,0,0,0,0,0,0,53
"23",0,0,0,0,1,0,1,49
"24",0,0,0,0,0,0,0,24
"25",0,0,0,0,0,0,0,28
"26",0,0,0,0,1,0,0,36
"27",1,0,0,0,0,0,1,33
"28",1,0,0,0,0,0,0,24
"29",0,0,0,0,0,0,1,22
"30",0,0,0,0,0,0,0,30
"31",0,1,0,0,0,1,0,24
"32",1,1,0,0,1,0,0,30
"33",0,0,0,0,0,0,0,29
"34",1,0,0,0,0,0,0,36
"35",0,0,0,1,0,0,0,29
"36",1,0,0,0,0,0,0,26
"37",0,0,0,0,1,0,0,21
"38",0,0,0,0,0,0,0,23
"39",1,1,0,0,0,0,0,38
"40",0,0,0,0,0,0,0,27
"41",0,0,0,0,0,0,0,35
"42",0,0,0,0,0,0,0,44
"43",1,0,0,0,0,0,0,24
"44",0,0,0,0,0,0,1,25
"45",0,1,0,0,0,0,0,47
"46",1,1,0,1,1,0,0,35
"47",0,1,0,0,0,0,0,33
"48",0,0,0,0,0,0,0,44
"49",1,1,0,1,0,0,1,18
"50",0,0,0,0,1,0,0,32
"51",1,1,0,0,1,0,1,49
"52",0,0,0,0,0,0,0,49
"53",0,0,0,0,0,0,0,62
"54",0,1,0,0,0,0,0,32
"55",1,0,1,0,0,0,0,27
"56",0,1,0,0,0,1,0,20
"57",1,0,0,0,0,1,0,28
"58",0,0,0,1,0,0,0,38
"59",0,0,0,0,1,1,0,21
"60",0,0,0,1,0,0,0,23
"61",0,0,0,0,0,0,0,43
"62",1,1,0,1,0,0,0,31
"63",0,0,0,0,0,0,0,28
"64",1,1,0,0,0,0,0,45
"65",1,0,0,0,0,0,0,53
"66",0,0,0,0,0,1,0,20
"67",1,0,0,0,0,0,0,25
"68",1,0,0,0,0,0,0,18
"69",1,0,0,0,0,0,0,34
"70",0,1,0,1,0,0,0,40
"71",1,0,0,0,0,0,0,20
"72",1,1,0,0,0,0,0,29
"73",0,0,0,1,0,0,0,32
"74",0,1,0,1,0,0,0,36
"75",1,1,0,0,0,0,0,24
"76",0,0,0,0,0,0,0,58
"77",1,0,0,0,0,0,1,20
"78",0,0,0,0,0,0,0,23
"79",0,1,0,0,0,0,0,40
"80",1,0,0,0,0,0,0,44
